Compound,Isomer,Breed,Parity,Feed_Type,Scenario,GOF_Passed,Exposure_Stop_Day,Total_Days,Milk_Conc_End_Exposure,t50_depuration_days,t90_depuration_days,t_below_reg_limit_days
PFDoDA,Branched,Saanen,primiparous,maize_silage,EXPO_LOW,0.0,300.0,300.0,0.004265437998967246,,,
PFDoDA,Branched,Saanen,primiparous,maize_silage,EXPO_HIGH,0.0,300.0,300.0,0.004265437998967246,,,
PFDoDA,Branched,Saanen,primiparous,maize_silage,EXPO_DEP,0.0,200.0,300.0,0.005254478225938332,216.82004080787982,252.06038997803208,
PFDoDA,Branched,Saanen,primiparous,lucerne,EXPO_LOW,0.0,300.0,300.0,0.004265437998967246,,,
PFDoDA,Branched,Saanen,primiparous,lucerne,EXPO_HIGH,0.0,300.0,300.0,0.004265437998967246,,,
PFDoDA,Branched,Saanen,primiparous,lucerne,EXPO_DEP,0.0,200.0,300.0,0.005254478225938332,216.82004080787982,252.06038997803208,
PFDoDA,Branched,Saanen,multiparous,grass_silage,EXPO_LOW,0.0,300.0,300.0,0.019394819515119226,,,
PFDoDA,Branched,Saanen,multiparous,grass_silage,EXPO_HIGH,0.0,300.0,300.0,0.019394819515119226,,,
PFDoDA,Branched,Saanen,multiparous,grass_silage,EXPO_DEP,0.0,200.0,300.0,0.02212740052361322,217.02063687441628,252.80449031690026,
PFDoDA,Branched,Saanen,multiparous,maize_silage,EXPO_LOW,0.0,300.0,300.0,0.003878963903023847,,,
PFDoDA,Branched,Saanen,multiparous,maize_silage,EXPO_HIGH,0.0,300.0,300.0,0.003878963903023847,,,
