Matrix,Compound,Isomer,Mean_Partition_Coefficient
Brain,Sum EFSA-4,Linear,0.7197548954260452
Milk,PFBA,Linear,0.23820831394206504
Milk,PFDA,Linear,0.03625209795485743
Milk,PFDS,Branched,0.008522961154274245
Milk,PFDS,Linear,0.03791494769357428
Milk,PFDoDA,Linear,0.015700237567852996
Milk,PFDoDS,Branched,0.01514069322444997
Milk,PFDoDS,Linear,0.1304919360803189
Milk,PFHpS,Linear,0.0032430207753131753
Milk,PFHxS,Linear,0.0041229744337964724
Milk,PFNS,Branched,0.045766469880406155
Milk,PFNS,Linear,0.07074190661927647
Milk,PFOA,Branched,0.027469812982357712
Milk,PFOA,Linear,0.017496640514280966
Milk,PFOS,Branched,0.023166815608226754
Milk,PFOS,Linear,0.042927821529224176
Milk,PFTrDA,Linear,0.007683970952352831
Milk,PFTrDS,Branched,0.01898773411277927
Milk,PFUnDA,Linear,0.02757615008378518
Milk,PFUnDS,Branched,0.032141061317357666
Milk,PFUnDS,Linear,0.13371440900751563
