Animal,Compound,Isomer,total_intake,auc_milk_amount,auc_urine_amount,auc_feces_amount,total_body_burden,total_eliminated,mass_balance,unaccounted,transfer_rate_milk,transfer_rate_urine,transfer_rate_feces
E3,PFOS,Linear,7591.6141371565345,824.6724015847665,153.22722318023068,2498.944931465408,190.24163899999996,3476.844556230405,0.48304433404776875,3924.5279419261296,0.1086293885181117,0.020183747541945338,0.32917175271521326
E4,PFOS,Linear,7092.753599352944,1175.8078292864532,111.04144214059671,2145.445173161459,165.6672696,3432.2944445885087,0.5072729037868654,3494.791885164435,0.1657759307180387,0.015655618172147806,0.30248409776383367
E2,PFOS,Total,,,320.6951244507395,3901.525327160298,310.13138000000004,,,,,,
E3,PFOS,Total,,,260.1852776617925,2744.503322007867,232.26388498999992,,,,,,
E4,PFOS,Total,,,193.7782029512374,2325.0512293572533,197.6587704,,,,,,
E2,PFPeA,Linear,4201.235786800144,0.9829226799747316,857.4915024471479,390.6482335863511,4.53315,1249.1226587134738,0.29840167806156775,2947.57997808667,0.00023396037019940058,0.20410458873584272,0.09298412500762948
E3,PFPeA,Linear,4082.162858217579,0.942044482585692,645.341436720194,519.8700414232858,3.4625549999999996,1166.1535226260655,0.2865187201611948,2912.546780591513,0.00023077092103008915,0.15808811630851335,0.12735161714010595
E4,PFPeA,Linear,3816.2753646073716,1.0121530217980637,641.8941852816511,233.14146305096833,24.937340399999997,876.0478013544175,0.23609018104675297,2915.290222852954,0.00026522012305110396,0.16819912714754817,0.0610913628542511
E2,PFPeS,Linear,9.006686368642793,0.0,0.0,0.0,0.0,0.0,0.0,9.006686368642793,0.0,0.0,0.0
E3,PFPeS,Linear,8.796387892819386,0.0,0.0,0.0,0.0,0.0,0.0,8.796387892819386,0.0,0.0,0.0
E4,PFPeS,Linear,8.218241040023095,0.0,0.0,0.0,0.0,0.0,0.0,8.218241040023095,0.0,0.0,0.0
E2,PFTeDA,Branched,105.48148146432752,0.39196249592692595,0.0,0.0,0.0,0.39196249592692595,0.0037159365841812017,105.08951896840058,0.0037159365841812017,0.0,0.0
E3,PFTeDA,Branched,104.05214939117293,0.20734688652852296,0.0,0.0,0.0,0.20734688652852296,0.0019927208399033113,103.8448025046444,0.0019927208399033113,0.0,0.0
E4,PFTeDA,Branched,97.95547222598812,0.49333226881765563,0.0,0.0,0.0,0.49333226881765563,0.005036291057629876,97.46213995717046,0.005036291057629876,0.0,0.0
E2,PFTeDA,Linear,16.745374106045478,0.14161059149197006,0.0,0.0,0.0,0.14161059149197006,0.008456699181229117,16.60376351455351,0.008456699181229117,0.0,0.0
E3,PFTeDA,Linear,16.454073358210394,0.027885747316533052,0.0,0.0,0.0,0.027885747316533052,0.0016947625496405354,16.426187610893862,0.0016947625496405354,0.0,0.0
E4,PFTeDA,Linear,15.504881607547414,0.15584130012071346,0.0,0.0,0.0,0.15584130012071346,0.010051111905611297,15.349040307426701,0.010051111905611297,0.0,0.0
E2,PFTrDA,Branched,63.04514703150154,0.9824776715362823,0.0,0.0,0.0,0.9824776715362823,0.015583716079611508,62.06266935996526,0.015583716079611508,0.0,0.0
E3,PFTrDA,Branched,62.09476736215569,0.5275179260141092,0.0,0.0,0.0,0.5275179260141092,0.008495368425127726,61.56724943614159,0.008495368425127726,0.0,0.0
E4,PFTrDA,Branched,58.40687585068017,1.1364995726958314,0.0,0.0,0.0,1.1364995726958314,0.01945831815420746,57.27037627798434,0.01945831815420746,0.0,0.0
E2,PFTrDA,Linear,26.335759280700824,0.5934135675498271,0.0,0.0,0.0,0.5934135675498271,0.02253261663067706,25.742345713150996,0.02253261663067706,0.0,0.0
E3,PFTrDA,Linear,26.00220327569929,0.3335327991918804,0.0,0.0,0.0,0.3335327991918804,0.012827097598440359,25.668670476507412,0.012827097598440359,0.0,0.0
